  
       XFOIL         Version 6.99
  
 Calculated polar for: Airfoils2D_049_0.6F_100_-3                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.048 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000  -0.0364   0.01357   0.00170  -0.0162   1.0003   0.9997   1.0000 300.0000
  -0.500   0.0175   0.01354   0.00154  -0.0163   1.0003   0.9997   1.0000 300.0000
   0.000   0.0710   0.01356   0.00151  -0.0163   1.0003   0.9997   1.0000 300.0000
   0.500   0.1239   0.01365   0.00163  -0.0164   1.0003   0.9997   1.0000 300.0000
   1.000   0.1759   0.01382   0.00190  -0.0166   1.0003   0.9997   1.0000 300.0000
   1.500   0.2252   0.01421   0.00246  -0.0173   1.0003   0.9997   1.0000 300.0000
   2.000   0.2666   0.01532   0.00366  -0.0194   1.0003   0.9997   1.0000 300.0000
   2.500   0.3909   0.01673   0.00533  -0.0367   0.9393   0.9997   9.8081 300.0000
   3.000   0.4883   0.01731   0.00598  -0.0409   0.8238   0.9997  25.8457 300.0000
   3.500   0.5284   0.01856   0.00679  -0.0330   0.7116   0.9997  41.2742 300.0000
   4.000   0.5635   0.02021   0.00779  -0.0246   0.5810   0.9997  59.4814 300.0000
   4.500   0.5913   0.02061   0.00643  -0.0151   0.3290   0.9997  94.4808 300.0000
   5.000   0.6351   0.02641   0.00922  -0.0122   0.1321   0.9997 122.0618 300.0000
   5.500   0.6900   0.03174   0.01352  -0.0103   0.1112   0.9997 125.0775 300.0000
   6.000   0.7419   0.03846   0.01997  -0.0092   0.1044   0.9997 126.0796 300.0000
   6.500   0.7854   0.04761   0.02960  -0.0093   0.1061   0.9997 125.8304 300.0000
   7.000   0.8126   0.06172   0.04477  -0.0143   0.1234   0.9997 123.3120 300.0000
