  
       XFOIL         Version 6.99
  
 Calculated polar for: Airfoils2D_049_0.6F_100_-3                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.049 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000  -0.0362   0.01343   0.00168  -0.0162   1.0003   0.9997   1.0000 300.0000
  -0.500   0.0177   0.01340   0.00152  -0.0163   1.0003   0.9997   1.0000 300.0000
   0.000   0.0712   0.01342   0.00150  -0.0164   1.0003   0.9997   1.0000 300.0000
   0.500   0.1241   0.01351   0.00161  -0.0164   1.0003   0.9997   1.0000 300.0000
   1.000   0.1761   0.01368   0.00189  -0.0166   1.0003   0.9997   1.0000 300.0000
   1.500   0.2254   0.01407   0.00245  -0.0174   1.0003   0.9997   1.0000 300.0000
   2.000   0.2668   0.01521   0.00367  -0.0196   1.0003   0.9997   1.0000 300.0000
   2.500   0.3997   0.01648   0.00523  -0.0379   0.9313   0.9997  10.9300 300.0000
   3.000   0.4873   0.01708   0.00583  -0.0401   0.8178   0.9997  26.6836 300.0000
   3.500   0.5270   0.01835   0.00664  -0.0323   0.7070   0.9997  41.9129 300.0000
   4.000   0.5626   0.01997   0.00761  -0.0242   0.5778   0.9997  59.9365 300.0000
   4.500   0.5906   0.02038   0.00622  -0.0150   0.3197   0.9997  95.7770 300.0000
   5.000   0.6352   0.02620   0.00915  -0.0123   0.1284   0.9997 122.5976 300.0000
   5.500   0.6902   0.03155   0.01356  -0.0104   0.1093   0.9997 125.3527 300.0000
   6.000   0.7417   0.03829   0.02010  -0.0092   0.1025   0.9997 126.3570 300.0000
   6.500   0.7856   0.04725   0.02912  -0.0092   0.1042   0.9997 126.1029 300.0000
   7.000   0.8125   0.06165   0.04484  -0.0144   0.1226   0.9997 123.4280 300.0000
