20150114-50 +2 d
   1.00000	   0.00025
   0.99675	   0.00069
   0.99039	   0.00153
   0.98284	   0.00247
   0.97461	   0.00345
   0.96621	   0.00444
   0.95788	   0.00539
   0.94954	   0.00633
   0.94115	   0.00724
   0.93274	   0.00815
   0.92437	   0.00904
   0.91595	   0.00991
   0.90753	   0.01077
   0.89917	   0.01161
   0.89078	   0.01243
   0.88240	   0.01325
   0.87401	   0.01404
   0.86560	   0.01483
   0.85719	   0.01561
   0.84876	   0.01638
   0.84032	   0.01714
   0.83190	   0.01789
   0.82347	   0.01861
   0.81504	   0.01934
   0.80664	   0.02005
   0.79823	   0.02075
   0.78985	   0.02144
   0.78150	   0.02211
   0.77318	   0.02279
   0.76484	   0.02344
   0.75646	   0.02409
   0.74807	   0.02473
   0.73972	   0.02537
   0.73140	   0.02598
   0.72303	   0.02660
   0.71463	   0.02722
   0.70621	   0.02783
   0.69785	   0.02841
   0.68944	   0.02899
   0.68100	   0.02958
   0.67257	   0.03015
   0.66411	   0.03072
   0.65565	   0.03128
   0.64720	   0.03182
   0.63874	   0.03236
   0.63030	   0.03290
   0.62187	   0.03343
   0.61345	   0.03395
   0.60501	   0.03446
   0.59655	   0.03496
   0.58809	   0.03546
   0.57964	   0.03595
   0.57121	   0.03644
   0.56277	   0.03691
   0.55430	   0.03737
   0.54583	   0.03783
   0.53737	   0.03829
   0.52889	   0.03874
   0.52043	   0.03917
   0.51199	   0.03960
   0.50356	   0.04002
   0.49514	   0.04043
   0.48669	   0.04083
   0.47823	   0.04123
   0.46982	   0.04161
   0.46139	   0.04199
   0.45299	   0.04235
   0.44457	   0.04271
   0.43616	   0.04306
   0.42770	   0.04339
   0.41923	   0.04372
   0.41078	   0.04403
   0.40232	   0.04433
   0.39384	   0.04462
   0.38539	   0.04489
   0.37695	   0.04515
   0.36849	   0.04539
   0.36003	   0.04562
   0.35161	   0.04583
   0.34317	   0.04603
   0.33477	   0.04621
   0.32640	   0.04636
   0.31798	   0.04650
   0.30958	   0.04661
   0.30114	   0.04670
   0.29271	   0.04677
   0.28431	   0.04682
   0.27591	   0.04684
   0.26750	   0.04683
   0.25911	   0.04680
   0.25074	   0.04673
   0.24234	   0.04662
   0.23398	   0.04649
   0.22562	   0.04632
   0.21726	   0.04611
   0.20894	   0.04586
   0.20062	   0.04557
   0.19227	   0.04523
   0.18399	   0.04485
   0.17572	   0.04441
   0.16746	   0.04392
   0.15920	   0.04337
   0.15102	   0.04277
   0.14283	   0.04208
   0.13465	   0.04133
   0.12654	   0.04051
   0.11842	   0.03960
   0.11039	   0.03862
   0.10239	   0.03753
   0.09443	   0.03635
   0.08656	   0.03507
   0.07875	   0.03366
   0.07100	   0.03214
   0.06340	   0.03049
   0.05588	   0.02868
   0.04853	   0.02674
   0.04138	   0.02464
   0.03448	   0.02237
   0.02796	   0.01996
   0.02191	   0.01743
   0.01662	   0.01490
   0.01227	   0.01249
   0.00885	   0.01031
   0.00632	   0.00845
   0.00443	   0.00683
   0.00301	   0.00542
   0.00195	   0.00416
   0.00115	   0.00302
   0.00057	   0.00196
   0.00019	   0.00097
   0.00000	   0.00004
   0.00001	  -0.00085
   0.00025	  -0.00174
   0.00077	  -0.00259
   0.00157	  -0.00336
   0.00262	  -0.00406
   0.00395	  -0.00472
   0.00564	  -0.00538
   0.00782	  -0.00608
   0.01072	  -0.00686
   0.01463	  -0.00772
   0.01985	  -0.00863
   0.02631	  -0.00954
   0.03352	  -0.01036
   0.04118	  -0.01106
   0.04912	  -0.01164
   0.05715	  -0.01213
   0.06528	  -0.01252
   0.07346	  -0.01285
   0.08167	  -0.01309
   0.08996	  -0.01328
   0.09828	  -0.01342
   0.10660	  -0.01351
   0.11492	  -0.01356
   0.12328	  -0.01356
   0.13171	  -0.01353
   0.14009	  -0.01349
   0.14846	  -0.01340
   0.15689	  -0.01328
   0.16530	  -0.01315
   0.17374	  -0.01299
   0.18218	  -0.01281
   0.19062	  -0.01261
   0.19906	  -0.01240
