20120105-60T85 +2
 0.9998600    -0.0102300
 0.9996900    -0.0102100
 0.9992000    -0.0101300
 0.9983700    -0.0100000
 0.9972300    -0.0098300
 0.9957800    -0.0096000
 0.9940200    -0.0093400
 0.9919500    -0.0090400
 0.9895700    -0.0087000
 0.9868800    -0.0083200
 0.9839000    -0.0079100
 0.9806100    -0.0074600
 0.9770200    -0.0069600
 0.9731400    -0.0064400
 0.9689700    -0.0058800
 0.9645100    -0.0052900
 0.9597700    -0.0046600
 0.9547500    -0.0040000
 0.9494600    -0.0033100
 0.9438900    -0.0026000
 0.9380500    -0.0018500
 0.9319500    -0.0010800
 0.9255900    -0.0002800
 0.9189700     0.0005400
 0.9121000     0.0013900
 0.9049800     0.0022600
 0.8976200     0.0031400
 0.8900200     0.0040500
 0.8821900     0.0049800
 0.8741300     0.0059200
 0.8658400     0.0068700
 0.8573300     0.0078400
 0.8486100     0.0088300
 0.8396800     0.0098100
 0.8305400     0.0108100
 0.8212000     0.0118300
 0.8116700     0.0128500
 0.8019500     0.0138600
 0.7920300     0.0148900
 0.7819400     0.0159200
 0.7716700     0.0169600
 0.7612200     0.0179800
 0.7505900     0.0190100
 0.7398000     0.0200600
 0.7288400     0.0210900
 0.7176900     0.0220900
 0.7062800     0.0231500
 0.7041900     0.0233500
 0.7020900     0.0235400
 0.7000000     0.0237400
 0.6938100     0.0241700
 0.6821400     0.0251400
 0.6705000     0.0261600
 0.6588400     0.0271500
 0.6471200     0.0280900
 0.6353200     0.0290400
 0.6234800     0.0299800
 0.6115900     0.0308900
 0.5996600     0.0317800
 0.5876700     0.0326600
 0.5756600     0.0335300
 0.5636200     0.0343700
 0.5515500     0.0351900
 0.5394600     0.0360000
 0.5273700     0.0367900
 0.5152800     0.0375500
 0.5031900     0.0382900
 0.4911000     0.0390200
 0.4790400     0.0397200
 0.4670100     0.0404000
 0.4550100     0.0410400
 0.4430400     0.0416700
 0.4311300     0.0422800
 0.4192800     0.0428500
 0.4074800     0.0433900
 0.3957500     0.0439100
 0.3841100     0.0444000
 0.3725400     0.0448400
 0.3610700     0.0452600
 0.3496900     0.0456500
 0.3384200     0.0459900
 0.3272600     0.0463000
 0.3162100     0.0465700
 0.3052900     0.0467900
 0.2945000     0.0469800
 0.2838400     0.0471200
 0.2733200     0.0472200
 0.2629400     0.0472700
